id,name,description
active1DayUsers,1-day active users,The number of distinct active users on your site or app within a 1 day period. The 1 day period includes the last day in the report's date range. Note: this is the same as Active Users.
active28DayUsers,28-day active users,The number of distinct active users on your site or app within a 28 day period. The 28 day period includes the last day in the report's date range.
active7DayUsers,7-day active users,The number of distinct active users on your site or app within a 7 day period. The 7 day period includes the last day in the report's date range.
activeUsers,Active users,The number of distinct users who visited your site or app.
adUnitExposure,Ad unit exposure,"The time that an ad unit was exposed to a user, in milliseconds."
addToCarts,Add-to-carts,The number of times users added items to their shopping carts.
averagePurchaseRevenue,Average purchase revenue,The average purchase revenue in the transaction group of events.
averagePurchaseRevenuePerPayingUser,ARPPU,Average revenue per paying user (ARPPU) is the total purchase revenue per active user that logged a purchase event. The summary metric is for the time period selected.
averageRevenuePerUser,ARPU,Average revenue per active user (ARPU). The summary metric is for the time period selected. ARPU includes AdMob estimated earnings.
cartToViewRate,Cart-to-view rate,"The number of users who added a product(s) to their cart divided by the number of users who viewed the same product(s). This metric is returned as a fraction; for example, 0.1132 means 11.32% of users who viewed a product also added the same product to their cart."
checkouts,Checkouts,The number of times users started the checkout process.
cohortActiveUsers,Cohort active users,"The number of users in the cohort who are active in the time window corresponding to the cohort nth day/week/month. For example for the row where cohortNthWeek = 0001, this metric is the number of users (in the cohort) who are active in week 1."
cohortTotalUsers,Cohort total users,"The total number of users in the cohort. This metric is the same value in every row of the report for each cohort. Because cohorts are defined by a shared acquisition date, cohortTotalUsers is the same as cohortActiveUsers for the cohort's selection date range. For report rows later than the ochort's selection range, it is typical for cohortActiveUsers to be smaller than cohortTotalUsers. This difference represents users from the cohort that were not active for the later date. cohortTotalUsers is commonly used in the metric expression cohortActiveUsers/cohortTotalUsers to compute a user retention fraction for the cohort. The relationship between activeUsers and totalUsers is not equivalent to the relationship between cohortActiveUsers and cohortTotalUsers."
conversions,Conversions,"The count of conversion events. Events are marked as conversions at collection time; changes to an event's conversion marking apply going forward. You can mark any event as a conversion in Google Analytics, and some events (i.e. first_open, purchase) are marked as conversions by default. To learn more, see https://support.google.com/analytics/answer/9267568."
crashAffectedUsers,Crash-affected users,"The number of users that logged a crash in this row of the report. For example if the report is time series by date, this metrics reports total users with at least one crash on this date. Crashes are events with the name ""app_exception""."
crashFreeUsersRate,Crash-free users rate,"The number of users without crash events (in this row of the report) divided by the total number of users. This metric is returned as a fraction; for example, 0.9243 means 92.43% of users were crash-free."
ecommercePurchases,Ecommerce purchases,The number of times users completed a purchase. This metric counts 'purchase' events; this metric does not count 'in_app_purchase' and subscription events.
engagedSessions,Engaged sessions,"The number of sessions that lasted longer than 10 seconds, or had a conversion event, or had 2 or more screen views."
engagementRate,Engagement rate,"The percentage of engaged sessions (Engaged sessions divided by Sessions). This metric is returned as a fraction; for example, 0.7239 means 72.39% of sessions were engaged sessions."
eventCount,Event count,The count of events.
eventCountPerUser,Event count per user,The average number of events per user (Event count divided by Active users).
eventValue,Event value,The sum of the event parameter named 'value'.
eventsPerSession,Events per session,The average number of events per session (Event count divided by Sessions).
firstTimePurchasers,First time purchasers,The number of users that completed their first purchase event.
itemListClickThroughRate,Item list click through rate,"The number of users who selected a list(s) divided by the number of users who viewed the same list(s). This metric is returned as a fraction; for example, 0.2145 means 21.45% of users who viewed a list also selected the same list."
itemListClicks,Item list clicks,The number of times users clicked an item when it appeared in a list.
itemListViews,Item list views,The number of times the item list was viewed.
itemPromotionClickThroughRate,Item promotion click through rate,"The number of users who selected a promotion(s) divided by the number of users who viewed the same promotion(s). This metric is returned as a fraction; for example, 0.1382 means 13.82% of users who viewed a promotion also selected the promotion."
itemPromotionClicks,Item promotion clicks,The number of times an item promotion was clicked.
itemPromotionViews,Item promotion views,The number of times an item promotion was viewed.
itemPurchaseQuantity,Item purchase quantity,The number of units for a single item included in purchase events.
itemRevenue,Item revenue,The total revenue from items only. Item revenue is the product of its price and quantity. Item revenue excludes tax and shipping values.
itemViews,Item views,The number of times the item details were viewed.
